Date : 2023-01-17 12:02:47
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 251 files,  46881 codes, 208 comments, 687 blanks, all 47776 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     33,183 |          0 |          5 |     33,188 |
| TypeScript React   |         90 |      7,146 |         68 |        421 |      7,635 |
| SCSS               |         27 |      3,067 |        101 |         85 |      3,253 |
| XML                |        115 |      2,050 |         11 |        109 |      2,170 |
| TypeScript         |          9 |      1,337 |         10 |         42 |      1,389 |
| JavaScript         |          2 |         33 |          4 |          3 |         40 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         20 |          0 |         15 |         35 |
| Docker             |          1 |         19 |         14 |          6 |         39 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        251 |     46,881 |        208 |        687 |     47,776 |
| . (Files)                                                                                                                    |          8 |     10,697 |         18 |         28 |     10,743 |
| helper                                                                                                                       |          1 |          5 |          8 |          2 |         15 |
| public                                                                                                                       |          8 |     11,333 |          0 |          7 |     11,340 |
| src                                                                                                                          |        234 |     24,846 |        182 |        650 |     25,678 |
| src\Assets                                                                                                                   |        108 |      2,009 |         11 |        103 |      2,123 |
| src\Assets (Files)                                                                                                           |         33 |        431 |          3 |         32 |        466 |
| src\Assets\Aboutus                                                                                                           |         32 |        519 |          0 |         32 |        551 |
| src\Assets\Aboutus\As seen in                                                                                                |         12 |         42 |          0 |         12 |         54 |
| src\Assets\Aboutus\OurClientIcon                                                                                             |          8 |         52 |          0 |          8 |         60 |
| src\Assets\Aboutus\OurTeamVectorIcons                                                                                        |          5 |        149 |          0 |          5 |        154 |
| src\Assets\Aboutus\OurValuesIcons                                                                                            |          4 |         24 |          0 |          4 |         28 |
| src\Assets\Aboutus\WhyEMFIIcons                                                                                              |          3 |        252 |          0 |          3 |        255 |
| src\Assets\FooterandLines                                                                                                    |         17 |        213 |          4 |         15 |        232 |
| src\Assets\Intelligence                                                                                                      |          1 |          3 |          0 |          1 |          4 |
| src\Assets\Intelligence - After Login Angola                                                                                 |          5 |         27 |          0 |          5 |         32 |
| src\Assets\Legal - Cookies Policy                                                                                            |          2 |          6 |          0 |          2 |          8 |
| src\Assets\SalesNTrading                                                                                                     |          3 |        591 |          0 |          3 |        594 |
| src\Assets\Services Icons and logos                                                                                          |          8 |         36 |          0 |          8 |         44 |
| src\Assets\footer-img                                                                                                        |          7 |        183 |          4 |          5 |        192 |
| src\Components                                                                                                               |         58 |     13,790 |         46 |        265 |     14,101 |
| src\Components\AccordianComponent                                                                                            |          2 |         73 |          1 |          9 |         83 |
| src\Components\AccordianComponent (Files)                                                                                    |          1 |         48 |          1 |          5 |         54 |
| src\Components\AccordianComponent\AccordianItemComponent.tsx                                                                 |          1 |         25 |          0 |          4 |         29 |
| src\Components\AnimatedComponent                                                                                             |          3 |        126 |         36 |         26 |        188 |
| src\Components\Badge                                                                                                         |          1 |         14 |          0 |          4 |         18 |
| src\Components\Cards                                                                                                         |          7 |        234 |          2 |         26 |        262 |
| src\Components\Cards\CustomCard                                                                                              |          1 |         16 |          0 |          5 |         21 |
| src\Components\Cards\CustomPriceCard                                                                                         |          1 |         44 |          0 |          4 |         48 |
| src\Components\Cards\MarketMoverCard                                                                                         |          1 |         80 |          2 |          3 |         85 |
| src\Components\Cards\PaperCard                                                                                               |          1 |         22 |          0 |          3 |         25 |
| src\Components\Cards\ServiceCard                                                                                             |          1 |         20 |          0 |          4 |         24 |
| src\Components\Cards\TeamMemberCard                                                                                          |          1 |         40 |          0 |          3 |         43 |
| src\Components\Cards\ValuesCard                                                                                              |          1 |         12 |          0 |          4 |         16 |
| src\Components\Charts                                                                                                        |          3 |     11,418 |          1 |         10 |     11,429 |
| src\Components\Charts\LineChartComponent                                                                                     |          1 |         98 |          1 |          7 |        106 |
| src\Components\Charts\WorldMapChart                                                                                          |          2 |     11,320 |          0 |          3 |     11,323 |
| src\Components\FloatModal                                                                                                    |          1 |         19 |          0 |          4 |         23 |
| src\Components\Footer                                                                                                        |          1 |        108 |          0 |          3 |        111 |
| src\Components\HeaderText                                                                                                    |          1 |         11 |          0 |          4 |         15 |
| src\Components\HeroSearch                                                                                                    |          1 |         71 |          0 |          8 |         79 |
| src\Components\HeroSection                                                                                                   |          5 |        532 |          0 |         24 |        556 |
| src\Components\HeroTextArea                                                                                                  |          1 |         34 |          0 |          4 |         38 |
| src\Components\Icons                                                                                                         |         23 |        662 |          3 |         96 |        761 |
| src\Components\InputComponent                                                                                                |          3 |         85 |          0 |         12 |         97 |
| src\Components\LoginForm                                                                                                     |          1 |         80 |          1 |          8 |         89 |
| src\Components\Navbar                                                                                                        |          1 |         62 |          1 |          5 |         68 |
| src\Components\ParticalBg                                                                                                    |          1 |        115 |          0 |          4 |        119 |
| src\Components\SelectComponent                                                                                               |          1 |         37 |          1 |          5 |         43 |
| src\Components\TableComponent                                                                                                |          1 |         47 |          0 |          6 |         53 |
| src\Components\WavyText                                                                                                      |          1 |         62 |          0 |          7 |         69 |
| src\Containers                                                                                                               |         11 |        451 |          6 |         45 |        502 |
| src\Containers\AboutEmfi                                                                                                     |          1 |         60 |          0 |          4 |         64 |
| src\Containers\AboutValues                                                                                                   |          1 |         35 |          0 |          3 |         38 |
| src\Containers\AsSeenIn                                                                                                      |          1 |          6 |          0 |          4 |         10 |
| src\Containers\ChartContainer                                                                                                |          1 |         31 |          0 |          4 |         35 |
| src\Containers\DefaultLayout                                                                                                 |          1 |         17 |          0 |          3 |         20 |
| src\Containers\HistoryChartContainer                                                                                         |          1 |        154 |          0 |          6 |        160 |
| src\Containers\MapContainer                                                                                                  |          1 |         29 |          3 |          4 |         36 |
| src\Containers\OurClients                                                                                                    |          1 |         12 |          1 |          4 |         17 |
| src\Containers\OurTeam                                                                                                       |          1 |          6 |          0 |          4 |         10 |
| src\Containers\OurValues                                                                                                     |          1 |          6 |          0 |          4 |         10 |
| src\Containers\SwipeCarousel                                                                                                 |          1 |         95 |          2 |          5 |        102 |
| src\Services                                                                                                                 |          2 |         51 |          1 |          8 |         60 |
| src\constants                                                                                                                |          5 |      3,175 |          0 |         44 |      3,219 |
| src\hooks                                                                                                                    |          1 |         22 |          7 |          2 |         31 |
| src\pages                                                                                                                    |         19 |      1,600 |         10 |         93 |      1,703 |
| src\pages (Files)                                                                                                            |          2 |         33 |          0 |          6 |         39 |
| src\pages\[lang]                                                                                                             |         16 |      1,557 |          9 |         84 |      1,650 |
| src\pages\[lang] (Files)                                                                                                     |          8 |      1,069 |          0 |         41 |      1,110 |
| src\pages\[lang]\intelligence                                                                                                |          3 |        239 |          3 |         17 |        259 |
| src\pages\[lang]\intelligence (Files)                                                                                        |          1 |         55 |          0 |          8 |         63 |
| src\pages\[lang]\intelligence\details                                                                                        |          2 |        184 |          3 |          9 |        196 |
| src\pages\[lang]\intelligence\details (Files)                                                                                |          1 |         42 |          0 |          4 |         46 |
| src\pages\[lang]\intelligence\details\[inteligencedetails]                                                                   |          1 |        142 |          3 |          5 |        150 |
| src\pages\[lang]\services                                                                                                    |          5 |        249 |          6 |         26 |        281 |
| src\pages\[lang]\services (Files)                                                                                            |          1 |         77 |          1 |          5 |         83 |
| src\pages\[lang]\services\ourproducts                                                                                        |          2 |        119 |          2 |         14 |        135 |
| src\pages\[lang]\services\ourservices                                                                                        |          2 |         53 |          3 |          7 |         63 |
| src\pages\api                                                                                                                |          1 |         10 |          1 |          3 |         14 |
| src\styles                                                                                                                   |         27 |      3,067 |        101 |         85 |      3,253 |
| src\types                                                                                                                    |          1 |         12 |          0 |          1 |         13 |
| src\utils                                                                                                                    |          2 |        669 |          0 |          4 |        673 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
