Date : 2023-01-23 00:21:04
Directory : c:\Users\PHPDots\Desktop\emfi-nextjs
Total : 140 files,  1339 codes, 349 comments, 185 blanks, all 1873 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript       |         13 |      1,583 |         10 |        105 |      1,698 |
| SCSS             |         10 |        982 |         15 |         10 |      1,007 |
| XML              |         69 |        364 |          0 |         25 |        389 |
| JSON             |          3 |        361 |          0 |          0 |        361 |
| JavaScript React |          1 |        130 |         26 |         18 |        174 |
| YAML             |          2 |         55 |          0 |          4 |         59 |
| JavaScript       |          2 |          2 |         -1 |          1 |          2 |
| Docker           |          1 |        -19 |        -14 |         -6 |        -39 |
| TypeScript React |         39 |     -2,119 |        313 |         28 |     -1,778 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        140 |      1,339 |        349 |        185 |      1,873 |
| . (Files)                                                                                                   |          8 |        475 |        -15 |          4 |        464 |
| helper                                                                                                      |          1 |          6 |          0 |          1 |          7 |
| public                                                                                                      |         47 |      1,160 |          0 |         47 |      1,207 |
| src                                                                                                         |         84 |       -302 |        364 |        133 |        195 |
| src\Assets                                                                                                  |         22 |       -796 |          0 |        -22 |       -818 |
| src\Assets\Aboutus                                                                                          |         19 |       -205 |          0 |        -19 |       -224 |
| src\Assets\Aboutus\As seen in                                                                               |         12 |        -42 |          0 |        -12 |        -54 |
| src\Assets\Aboutus\OurTeamVectorIcons                                                                       |          3 |       -139 |          0 |         -3 |       -142 |
| src\Assets\Aboutus\OurValuesIcons                                                                           |          4 |        -24 |          0 |         -4 |        -28 |
| src\Assets\SalesNTrading                                                                                    |          3 |       -591 |          0 |         -3 |       -594 |
| src\Components                                                                                              |         11 |        619 |         40 |         41 |        700 |
| src\Components\AccordianComponent                                                                           |          1 |          3 |         -1 |         -1 |          1 |
| src\Components\AnimatedComponent                                                                            |          1 |        130 |         26 |         18 |        174 |
| src\Components\Cards                                                                                        |          1 |          4 |          0 |          0 |          4 |
| src\Components\Cards\ServiceCard                                                                            |          1 |          4 |          0 |          0 |          4 |
| src\Components\Charts                                                                                       |          2 |        175 |          2 |          4 |        181 |
| src\Components\Charts\LineChartComponent                                                                    |          2 |        175 |          2 |          4 |        181 |
| src\Components\Footer                                                                                       |          1 |         46 |          0 |          1 |         47 |
| src\Components\HeroSearch                                                                                   |          1 |         -2 |          0 |          0 |         -2 |
| src\Components\HeroSection                                                                                  |          1 |         29 |         11 |          4 |         44 |
| src\Components\HeroTextArea                                                                                 |          1 |         13 |          0 |          0 |         13 |
| src\Components\LoginForm                                                                                    |          1 |        210 |          1 |         12 |        223 |
| src\Components\Navbar                                                                                       |          1 |         11 |          1 |          3 |         15 |
| src\Containers                                                                                              |          7 |        107 |         11 |          4 |        122 |
| src\Containers\AboutEmfi                                                                                    |          1 |         -1 |          0 |          0 |         -1 |
| src\Containers\AboutValues                                                                                  |          1 |         23 |          0 |          1 |         24 |
| src\Containers\AsSeenIn                                                                                     |          1 |         35 |          0 |          0 |         35 |
| src\Containers\DefaultLayout                                                                                |          1 |         15 |          5 |          0 |         20 |
| src\Containers\MapContainer                                                                                 |          2 |         28 |          3 |          4 |         35 |
| src\Containers\SwipeCarousel                                                                                |          1 |          7 |          3 |         -1 |          9 |
| src\Services                                                                                                |          2 |         79 |          4 |          1 |         84 |
| src\WaveScript                                                                                              |          1 |          0 |          0 |          1 |          1 |
| src\constants                                                                                               |         12 |     -1,163 |          6 |         77 |     -1,080 |
| src\pages                                                                                                   |         19 |       -130 |        288 |         21 |        179 |
| src\pages (Files)                                                                                           |          1 |          2 |          3 |          1 |          6 |
