"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "SCSS", "TypeScript React", "Markdown", "XML", "JavaScript React", "YAML", "comment", "blank", "total"
"c:\Users\PHPDots\Desktop\emfi-nextjs\.eslintrc.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\PHPDots\Desktop\emfi-nextjs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 15, 35
"c:\Users\PHPDots\Desktop\emfi-nextjs\appspec-dev.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\PHPDots\Desktop\emfi-nextjs\buildspec-dev.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 4, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\ecosytem.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 1, 25
"c:\Users\PHPDots\Desktop\emfi-nextjs\helper\index.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 22
"c:\Users\PHPDots\Desktop\emfi-nextjs\next.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\PHPDots\Desktop\emfi-nextjs\package-lock.json", "JSON", 0, 0, 10844, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10845
"c:\Users\PHPDots\Desktop\emfi-nextjs\package.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\AssetManagement.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\FintechAsAService.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\Group 10808.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\SalesTrading.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\WealthManagement.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\aljazeeracolor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\aljazeeragrey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\banks.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\bloombergcolor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\bloomberggrey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\brokers.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\candidates.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 1, 87
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\chanthamhousecolor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\chanthamhousegrey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\clientconfidentiality.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\conflictsofinterest.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\corporatetreasuries.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\customercomplaints.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\customersuitability.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebonds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ebondsblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\efunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\efundsblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\eintelblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\emfi-logo-blue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealth.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ewealthblue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\features.json", "JSON", 0, 0, 11292, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11293
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\fintech.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\france24grey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\gradientbg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\hegdefunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\insurancecompanies.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\mutualfunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\offshoreinvestors.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\onshoreinvestors.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 1, 148
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ouraproach.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 1, 231
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourclients.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 1, 138
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourservice.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 1, 225
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourteamplaceholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\ourvalues.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\pensionfunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\reuterscolor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\reutersgrey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\voacolor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\voagrey.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\public\whyemfi.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\banks.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\brokers.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\corporatetreasuries.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\fintech.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\hegdefunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\insurancecompanies.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\mutualfunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurClientIcon\pensionfunds.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\OurTeamVectorIcons\ourteamplaceholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\offshoreinvestors.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\onshoreinvestors.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 1, 148
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Aboutus\WhyEMFIIcons\whyemfi.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\AssetManagement.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FintechAsAService.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\7.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\Footer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\appstore.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\bloomberg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 1, 49
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 1, 43
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 1, 46
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\playstore.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\FooterandLines\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 1, 48
"c:\Users\PHPDots\Desktop\emfi-nextjs\src\Assets\Intelligence - After Login Angola\arrow-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
